dataset,write_ratio,index_name,throughput_mops,latency_ns,time_ms,trial
wiki_ts,0.05,ART,1.35666,737.102,73.7102,2
wiki_ts,0.1,HRT-LI,0.467684,2138.2,213.82,2
wiki_ts,0.1,HRT-LI v3,0.529928,1887.05,188.705,2
wiki_ts,0.1,ALEX,9.27124,107.86,10.786,2
wiki_ts,0.1,Dynamic PGM,3.38793,295.166,29.5166,2
wiki_ts,0.1,HOT,1.06524,938.754,93.8754,2
wiki_ts,0.1,ART,1.36177,734.337,73.4337,2
wiki_ts,0.25,HRT-LI,0.301384,3318.03,331.803,2
wiki_ts,0.25,HRT-LI v3,0.528307,1892.84,189.284,2
wiki_ts,0.25,ALEX,8.29678,120.529,12.0529,2
wiki_ts,0.25,Dynamic PGM,4.04876,246.989,24.6989,2
wiki_ts,0.25,HOT,1.11172,899.504,89.9504,2
wiki_ts,0.25,ART,1.58596,630.531,63.0531,2
wiki_ts,0.5,HRT-LI,0.187465,5334.34,533.434,2
wiki_ts,0.5,HRT-LI v3,0.531838,1880.27,188.027,2
wiki_ts,0.5,ALEX,7.92161,126.237,12.6237,2
wiki_ts,0.5,Dynamic PGM,5.31333,188.206,18.8206,2
wiki_ts,0.5,HOT,1.39681,715.917,71.5917,2
wiki_ts,0.5,ART,1.75121,571.035,57.1035,2
wiki_ts,0.75,HRT-LI,0.14055,7114.92,711.492,2
wiki_ts,0.75,HRT-LI v3,0.425727,2348.92,234.892,2
wiki_ts,0.75,ALEX,7.62824,131.092,13.1092,2
wiki_ts,0.75,Dynamic PGM,7.31812,136.647,13.6647,2
wiki_ts,0.75,HOT,1.66602,600.234,60.0234,2
wiki_ts,0.75,ART,1.86131,537.257,53.7257,2
wiki_ts,1,HRT-LI,0.0897418,11143.1,1114.31,2
wiki_ts,1,HRT-LI v3,0.550283,1817.25,181.725,2
wiki_ts,1,ALEX,7.34954,136.063,13.6063,2
wiki_ts,1,Dynamic PGM,11.7079,85.4127,8.54127,2
wiki_ts,1,HOT,2.99941,333.399,33.3399,2
wiki_ts,1,ART,5.08853,196.52,19.652,2
osm_cellids,0,HRT-LI,0.982126,1018.2,101.82,2
osm_cellids,0,HRT-LI v3,0.482029,2074.56,207.456,2
osm_cellids,0,ALEX,9.42088,106.147,10.6147,2
osm_cellids,0,Dynamic PGM,7.03174,142.212,14.2212,2
osm_cellids,0,HOT,1.00767,992.39,99.239,2
osm_cellids,0,ART,1.32217,756.334,75.6334,2
osm_cellids,0.01,HRT-LI,0.920374,1086.52,108.652,2
osm_cellids,0.01,HRT-LI v3,0.499959,2000.16,200.016,2
osm_cellids,0.01,ALEX,7.98807,125.187,12.5187,2
osm_cellids,0.01,Dynamic PGM,3.14484,317.981,31.7981,2
osm_cellids,0.01,HOT,0.978653,1021.81,102.181,2
osm_cellids,0.01,ART,1.3035,767.163,76.7163,2
osm_cellids,0.02,HRT-LI,0.894909,1117.43,111.743,2
osm_cellids,0.02,HRT-LI v3,0.487746,2050.25,205.025,2
osm_cellids,0.02,ALEX,8.93734,111.89,11.189,2
osm_cellids,0.02,Dynamic PGM,3.32519,300.735,30.0735,2
osm_cellids,0.02,HOT,0.929444,1075.91,107.591,2
osm_cellids,0.02,ART,1.12369,889.925,88.9925,2
osm_cellids,0.05,HRT-LI,0.864334,1156.96,115.696,2
osm_cellids,0.05,HRT-LI v3,0.49049,2038.78,203.878,2
osm_cellids,0.05,ALEX,7.89117,126.724,12.6724,2
osm_cellids,0.05,Dynamic PGM,2.31194,432.538,43.2538,2
osm_cellids,0.05,HOT,0.925006,1081.07,108.107,2
osm_cellids,0.05,ART,1.36322,733.56,73.356,2
osm_cellids,0.1,HRT-LI,0.757674,1319.83,131.983,2
osm_cellids,0.1,HRT-LI v3,0.462,2164.5,216.45,2
osm_cellids,0.1,ALEX,8.05056,124.215,12.4215,2
osm_cellids,0.1,Dynamic PGM,3.43423,291.186,29.1186,2
osm_cellids,0.1,HOT,0.90751,1101.92,110.192,2
osm_cellids,0.1,ART,1.08876,918.473,91.8473,2
osm_cellids,0.25,HRT-LI,0.783251,1276.73,127.673,2
osm_cellids,0.25,HRT-LI v3,0.503943,1984.35,198.435,2
osm_cellids,0.25,ALEX,8.11191,123.275,12.3275,2
osm_cellids,0.25,Dynamic PGM,4.23338,236.218,23.6218,2
osm_cellids,0.25,HOT,1.14519,873.217,87.3217,2
osm_cellids,0.25,ART,1.51007,662.22,66.222,2
osm_cellids,0.5,HRT-LI,0.650541,1537.18,153.718,2
osm_cellids,0.5,HRT-LI v3,0.492,2032.52,203.252,2
osm_cellids,0.5,ALEX,6.6165,151.137,15.1137,2
osm_cellids,0.5,Dynamic PGM,4.82041,207.451,20.7451,2
osm_cellids,0.5,HOT,1.03926,962.22,96.222,2
osm_cellids,0.5,ART,1.41972,704.366,70.4367,2
osm_cellids,0.75,HRT-LI,0.552092,1811.29,181.129,2
osm_cellids,0.75,HRT-LI v3,0.438726,2279.33,227.933,2
osm_cellids,0.75,ALEX,8.09746,123.495,12.3495,2
osm_cellids,0.75,Dynamic PGM,6.33303,157.902,15.7902,2
osm_cellids,0.75,HOT,1.70479,586.582,58.6582,2
osm_cellids,0.75,ART,1.66121,601.972,60.1972,2
osm_cellids,1,HRT-LI,0.487592,2050.89,205.089,2
osm_cellids,1,HRT-LI v3,0.616842,1621.16,162.116,2
osm_cellids,1,ALEX,12.7334,78.5339,7.85339,2
osm_cellids,1,Dynamic PGM,12.1915,82.0243,8.20243,2
osm_cellids,1,HOT,3.27086,305.73,30.573,2
osm_cellids,1,ART,5.31959,187.984,18.7984,2
wiki_ts,0,HRT-LI,0.965426,1035.81,103.581,3
wiki_ts,0,HRT-LI v3,0.531136,1882.76,188.276,3
wiki_ts,0,ALEX,10.3927,96.2216,9.62216,3
wiki_ts,0,Dynamic PGM,6.96635,143.547,14.3547,3
wiki_ts,0,HOT,1.00906,991.022,99.1022,3
wiki_ts,0,ART,1.42397,702.261,70.2261,3
wiki_ts,0.01,HRT-LI,0.693811,1441.31,144.131,3
wiki_ts,0.01,HRT-LI v3,0.541765,1845.82,184.582,3
wiki_ts,0.01,ALEX,10.4159,96.0067,9.60067,3
wiki_ts,0.01,Dynamic PGM,3.73057,268.056,26.8056,3
wiki_ts,0.01,HOT,1.05168,950.859,95.0859,3
wiki_ts,0.01,ART,1.42301,702.736,70.2736,3
wiki_ts,0.02,HRT-LI,0.656796,1522.54,152.254,3
wiki_ts,0.02,HRT-LI v3,0.522959,1912.2,191.22,3
wiki_ts,0.02,ALEX,9.98136,100.187,10.0187,3
wiki_ts,0.02,Dynamic PGM,4.19609,238.317,23.8317,3
wiki_ts,0.02,HOT,1.06374,940.077,94.0077,3
wiki_ts,0.02,ART,1.35962,735.501,73.5501,3
wiki_ts,0.05,HRT-LI,0.532166,1879.11,187.911,3
wiki_ts,0.05,HRT-LI v3,0.537775,1859.51,185.951,3
wiki_ts,0.05,ALEX,9.86439,101.375,10.1375,3
wiki_ts,0.05,Dynamic PGM,3.42108,292.305,29.2305,3
wiki_ts,0.05,HOT,1.07452,930.652,93.0652,3
wiki_ts,0.05,ART,1.48833,671.896,67.1896,3
wiki_ts,0.1,HRT-LI,0.464087,2154.77,215.477,3
wiki_ts,0.1,HRT-LI v3,0.509559,1962.48,196.248,3
wiki_ts,0.1,ALEX,9.4542,105.773,10.5773,3
wiki_ts,0.1,Dynamic PGM,3.62023,276.226,27.6226,3
wiki_ts,0.1,HOT,1.00678,993.269,99.3269,3
wiki_ts,0.1,ART,1.42668,700.926,70.0926,3
wiki_ts,0.25,HRT-LI,0.286439,3491.15,349.115,3
wiki_ts,0.25,HRT-LI v3,0.516661,1935.5,193.55,3
wiki_ts,0.25,ALEX,7.90561,126.493,12.6493,3
wiki_ts,0.25,Dynamic PGM,3.67302,272.256,27.2256,3
wiki_ts,0.25,HOT,0.932672,1072.19,107.219,3
wiki_ts,0.25,ART,1.48355,674.06,67.406,3
wiki_ts,0.5,HRT-LI,0.170894,5851.56,585.156,3
wiki_ts,0.5,HRT-LI v3,0.49749,2010.09,201.009,3
wiki_ts,0.5,ALEX,6.43085,155.501,15.5501,3
wiki_ts,0.5,Dynamic PGM,5.12228,195.226,19.5226,3
wiki_ts,0.5,HOT,1.03539,965.82,96.582,3
wiki_ts,0.5,ART,1.67187,598.133,59.8133,3
wiki_ts,0.75,HRT-LI,0.133362,7498.41,749.841,3
wiki_ts,0.75,HRT-LI v3,0.538887,1855.68,185.568,3
wiki_ts,0.75,ALEX,7.72387,129.469,12.9469,3
wiki_ts,0.75,Dynamic PGM,6.87134,145.532,14.5532,3
wiki_ts,0.75,HOT,1.57657,634.29,63.429,3
wiki_ts,0.75,ART,2.48905,401.759,40.1759,3
wiki_ts,1,HRT-LI,0.110953,9012.82,901.282,3
wiki_ts,1,HRT-LI v3,0.625978,1597.5,159.75,3
wiki_ts,1,ALEX,7.66655,130.437,13.0437,3
wiki_ts,1,Dynamic PGM,12.789,78.1921,7.81921,3
wiki_ts,1,HOT,3.57742,279.531,27.9531,3
wiki_ts,1,ART,5.86779,170.422,17.0422,3
osm_cellids,0,HRT-LI,0.949231,1053.48,105.348,3
osm_cellids,0,HRT-LI v3,0.492619,2029.96,202.996,3
osm_cellids,0,ALEX,9.83834,101.643,10.1643,3
osm_cellids,0,Dynamic PGM,6.14271,162.795,16.2795,3
osm_cellids,0,HOT,0.801892,1247.05,124.705,3
osm_cellids,0,ART,1.29081,774.706,77.4706,3
osm_cellids,0.01,HRT-LI,0.79786,1253.35,125.335,3
osm_cellids,0.01,HRT-LI v3,0.441357,2265.74,226.574,3
osm_cellids,0.01,ALEX,10.2953,97.1321,9.71321,3
osm_cellids,0.01,Dynamic PGM,4.27935,233.681,23.3681,3
osm_cellids,0.01,HOT,1.06132,942.222,94.2222,3
osm_cellids,0.01,ART,1.15245,867.718,86.7719,3
osm_cellids,0.02,HRT-LI,0.736359,1358.03,135.803,3
